settlement_id,order_id,settled_date,settled_amount,fee,tax_on_fee,utr_number
SETL2024020,ORD2024020,2024-07-10,17252.99,353.4,63.61,UTR2024HDFCYE5165201944
SETL2024050,ORD2024050,2024-08-05,29007.87,594.18,106.95,UTR2024SBINF4ZW00561115
SETL2024049,ORD2024049,2024-08-02,7127.11,146.02,26.28,UTR2024KOTKJ75599184547
SETL2024013,ORD2024013,2024-07-02,1585.67,32.48,5.85,UTR2024ICICY41I10776471
SETL2024045,ORD2024045,2024-07-18,23584.94,483.1,86.96,UTR2024KOTKVWPV14623353
SETL2024006,ORD2024006,2024-08-10,9645.86,197.58,35.56,UTR2024AXISD4V341643256
SETL2024018,ORD2024018,2024-06-30,30807.37,631.04,113.59,UTR2024HDFC4FFY15066074
SETL2024053,ORD2024021,2024-06-30,24009.68,491.8,88.52,UTR2024AXISUE8Y50650047
SETL2024004,ORD2024004,2024-08-01,17623.04,360.98,64.98,UTR2024AXISV3A309486771
SETL2024033,ORD2024033,2024-07-18,14332.58,293.58,52.84,UTR2024KOTKE7UR99405516
SETL2024014,ORD2024014,2024-07-15,34142.76,699.36,125.88,UTR2024SBINOC6U44132366
SETL2024009,ORD2024009,2024-07-20,22668.1,464.32,83.58,UTR2024ICIC194555012146
SETL2024027,ORD2024027,2024-06-13,25566.06,523.68,94.26,UTR2024HDFC9TEX43073643
SETL2024007,ORD2024007,2024-07-27,34333.15,703.26,126.59,UTR2024AXIST9NT03784883
SETL2024035,ORD2024035,2024-08-13,1349.38,27.64,4.98,UTR2024AXISQ0Y961282742
SETL2024005,ORD2024005,2024-07-20,7944.97,162.74,29.29,UTR2024AXISMF8M76973943
SETL2024038,ORD2024038,2024-07-14,29218.77,598.5,107.73,UTR2024HDFCP5TB31183391
SETL2024025,ORD2024025,2024-08-24,15815.73,323.96,58.31,UTR2024HDFCEN9329626592
SETL2024046,ORD2024046,2024-06-17,33630.46,688.88,124.0,UTR2024SBIN7HZI22796984
SETL2024034,ORD2024034,2024-08-05,20744.59,424.92,76.49,UTR2024AXIS3GDP09151978
SETL2024051,ORD2024051,2024-07-29,22818.8,467.41,84.13,UTR2024KOTKA3KX77975425
SETL2024016,ORD2024016,2024-06-24,35136.73,719.72,129.55,UTR2024SBINF0T074720049
SETL2024010,ORD2024010,2024-06-09,37462.52,767.36,138.12,UTR2024SBINQ4FM56550573
SETL2024017,ORD2024017,2024-08-03,15275.78,312.9,56.32,UTR2024KOTKOH9S85514807
SETL2024031,ORD2024031,2024-08-19,34043.16,697.32,125.52,UTR2024ICICVAZC75418807
SETL2024037,ORD2024037,2024-06-27,22425.96,459.36,82.68,UTR2024KOTKQPKI52229788
SETL2024026,ORD2024026,2024-07-19,2658.74,54.46,9.8,UTR2024HDFCIUC024991807
SETL2024012,ORD2024012,2024-07-09,32479.95,665.3,119.75,UTR2024ICICFN9X15579644
SETL2024001,ORD2024001,2024-06-10,37895.06,776.22,139.72,UTR2024HDFCAJI064480620
SETL2024048,ORD2024048,2024-07-21,28793.63,589.79,106.16,UTR2024HDFCQ99C58919660
SETL2024028,ORD2024028,2024-07-06,13173.59,269.84,48.57,UTR2024ICICJ5PH09920108
SETL2024032,ORD2024032,2024-07-09,6468.65,132.5,23.85,UTR2024HDFC4CIY59039314
SETL2024041,ORD2024041,2024-07-19,2589.41,53.04,9.55,UTR2024SBIN72KZ41822265
SETL2024030,ORD2024030,2024-07-10,7443.1,152.46,27.44,UTR2024KOTKQICA90122106
SETL2024047,ORD2024047,2024-07-18,32028.85,656.06,118.09,UTR2024ICICYKL128557602
SETL2024002,ORD2024002,2024-08-03,38479.92,788.2,141.88,UTR2024KOTKDPBH51845319
SETL2024022,ORD2024022,2024-07-19,25652.96,525.46,94.58,UTR2024SBIN81SD84203808
SETL2024003,ORD2024003,2024-07-18,21919.2,448.98,80.82,UTR2024KOTKAHXT42058088
SETL2024042,ORD2024042,2024-06-03,18545.74,379.88,68.38,UTR2024KOTKXRGH95810810
SETL2024040,ORD2024040,2024-07-10,29059.62,595.24,107.14,UTR2024AXISHOCN56838395
SETL2024036,ORD2024036,2024-08-20,42427.51,869.06,156.43,UTR2024HDFCOM5I76241394
SETL2024024,ORD2024024,2024-07-24,44761.11,916.86,165.03,UTR2024KOTK877V92201553
SETL2024044,ORD2024044,2024-08-08,21854.39,447.65,80.58,UTR2024HDFCYIE635988473
SETL2024011,ORD2024011,2024-08-26,10859.52,222.44,40.04,UTR2024SBINZYCW24980280
SETL2024023,ORD2024023,2024-06-30,5735.37,117.48,21.15,UTR2024SBIN4SHN66122677
SETL2024019,ORD2024019,2024-06-17,16430.86,336.56,60.58,UTR2024HDFCNVQJ61611571
SETL2024054,ORD2024020,2024-07-12,17252.99,353.4,63.61,UTR2024ICICT4UF34035977
SETL2024021,ORD2024021,2024-06-27,24009.68,491.8,88.52,UTR2024SBINEPQ864491554
SETL2024008,ORD2024008,2024-07-27,7241.96,148.34,26.7,UTR2024KOTK5NGC81807776
SETL2024043,ORD2024043,2024-08-10,41258.44,845.14,152.13,UTR2024KOTKF8CG89293857
SETL2024015,ORD2024015,2024-07-03,6191.35,126.82,22.83,UTR2024SBINHR5X39394642
SETL2024029,ORD2024029,2024-07-03,29457.99,603.4,108.61,UTR2024ICICZOYN78012397
SETL2024052,ORD2024042,2024-06-06,18545.74,379.88,68.38,UTR2024ICICWJ0T07894128
SETL2024039,ORD2024039,2024-06-15,14248.61,291.86,52.53,UTR2024HDFC874F51415070
